Training Log
Start Time: 2025-10-15 15:20:57
Num Actors: 16
Horizon Length: 256
Minibatch Size: 128
Mini Epochs: 5
Learning Rate: 3e-4
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 30000
Position Error Threshold: 0.15
Position Error Count: 5
Progress Reward: 0.2
--------------------------------------------------
Current_Step,Max_Reward,Position,Velocity,Quaternion,Angular_Velocity,Timestamp
259,117.146301,2025-10-15 15:23:12,-0.1897582709789276,-0.1168171614408493,-0.04635170102119446,-0.039757855236530304
252,118.311394,2025-10-15 15:23:12,-0.15477301180362701,-0.10192456841468811,-0.03901512920856476,-0.035110462456941605
234,117.865974,2025-10-15 15:23:12,-0.12927094101905823,-0.08930731564760208,-0.032216254621744156,-0.03050318732857704
251,118.216187,2025-10-15 15:23:13,-0.16284771263599396,-0.1041867733001709,-0.0422823429107666,-0.0369168184697628
255,117.909897,2025-10-15 15:23:13,-0.13588301837444305,-0.09013055264949799,-0.03386040776968002,-0.030851542949676514
245,116.681366,2025-10-15 15:23:13,-0.1266617476940155,-0.08764944970607758,-0.02822740562260151,-0.027928823605179787
251,118.537910,2025-10-15 15:23:13,-0.16538189351558685,-0.10746781527996063,-0.039263516664505005,-0.035726118832826614
237,118.211632,2025-10-15 15:23:13,-0.15679854154586792,-0.10345550626516342,-0.037380896508693695,-0.034814655780792236
247,116.270676,2025-10-15 15:23:13,-0.1718033254146576,-0.10950807482004166,-0.04137439280748367,-0.03713430464267731
254,118.478851,2025-10-15 15:23:13,-0.15197288990020752,-0.09907376766204834,-0.03381675109267235,-0.031876951456069946
241,118.457962,2025-10-15 15:23:13,-0.12101539224386215,-0.08444152772426605,-0.028047602623701096,-0.028040651232004166
248,117.319298,2025-10-15 15:23:14,-0.14033862948417664,-0.09591386467218399,-0.03249536454677582,-0.03147752583026886
237,118.596901,2025-10-15 15:23:14,-0.15003161132335663,-0.10224878042936325,-0.035865798592567444,-0.03436684608459473
247,127.870575,2025-10-15 15:23:14,-0.14449536800384521,-0.0983799546957016,-0.03291776031255722,-0.031670451164245605
235,124.149315,2025-10-15 15:23:14,-0.18426655232906342,-0.118489108979702,-0.04698634147644043,-0.04196613281965256
245,121.920326,2025-10-15 15:23:14,-0.17856267094612122,-0.11297081410884857,-0.047902584075927734,-0.04206522926688194
241,121.509087,2025-10-15 15:23:14,-0.1540389358997345,-0.09994426369667053,-0.04154224693775177,-0.03669998422265053
246,120.349663,2025-10-15 15:23:14,-0.1335712969303131,-0.08886183798313141,-0.036369431763887405,-0.03278670459985733
247,118.190636,2025-10-15 15:23:15,-0.12546870112419128,-0.08490625023841858,-0.033354032784700394,-0.03079872578382492
238,118.206940,2025-10-15 15:23:15,-0.13384568691253662,-0.08981683105230331,-0.03327536955475807,-0.0309197548776865
248,117.826500,2025-10-15 15:23:15,-0.13183759152889252,-0.08773413300514221,-0.033068038523197174,-0.030489610508084297
249,116.382668,2025-10-15 15:23:15,-0.1257219910621643,-0.08597368001937866,-0.03172925114631653,-0.029371017590165138
241,118.509064,2025-10-15 15:23:15,-0.13734173774719238,-0.09435711055994034,-0.032417021691799164,-0.029896322637796402
247,118.070366,2025-10-15 15:23:15,-0.1541353315114975,-0.10242736339569092,-0.03501800075173378,-0.032257936894893646
256,117.433167,2025-10-15 15:23:15,-0.19378849864006042,-0.12093831598758698,-0.04705452546477318,-0.04070588946342468
259,117.139130,2025-10-15 15:23:15,-0.16729441285133362,-0.10830875486135483,-0.04071897268295288,-0.036525923758745193
250,116.809387,2025-10-15 15:23:15,-0.1362536996603012,-0.0940859243273735,-0.03059803694486618,-0.029905321076512337
245,113.735527,2025-10-15 15:23:16,-0.14310523867607117,-0.09927470237016678,-0.03460994362831116,-0.03346528485417366
243,118.087227,2025-10-15 15:23:16,-0.16113850474357605,-0.10767485201358795,-0.03633350878953934,-0.0349908247590065
244,118.549721,2025-10-15 15:23:16,-0.15680742263793945,-0.10513471066951752,-0.036611512303352356,-0.03527965396642685
245,118.524353,2025-10-15 15:23:16,-0.2040225863456726,-0.12800148129463196,-0.05409572273492813,-0.04665577784180641
