Training Log
Start Time: 2025-10-10 15:38:01
Num Actors: 16
Horizon Length: 256
Minibatch Size: 128
Mini Epochs: 5
Learning Rate: 1e-3
E-Clip: 0.2
Gamma: 0.99
Tau: 0.95
Max Epochs: 10000
Position Error Threshold: 0.15
Max Out Trajectory Steps: 5
--------------------------------------------------
Current_Step,Max_Reward,Timestamp
143,0.829907,2025-10-10 15:39:06
146,0.845506,2025-10-10 15:39:06
148,0.855903,2025-10-10 15:39:06
148,0.856198,2025-10-10 15:39:06
148,0.856548,2025-10-10 15:39:06
148,0.856376,2025-10-10 15:39:06
148,0.856132,2025-10-10 15:39:06
148,0.855726,2025-10-10 15:39:06
144,0.834768,2025-10-10 15:39:07
141,0.819258,2025-10-10 15:39:07
148,0.855892,2025-10-10 15:39:07
140,0.813088,2025-10-10 15:39:08
148,0.856041,2025-10-10 15:39:08
140,0.813046,2025-10-10 15:39:08
147,0.850788,2025-10-10 15:39:08
148,0.855991,2025-10-10 15:39:08
145,0.840987,2025-10-10 15:39:08
147,0.851434,2025-10-10 15:39:08
148,0.856658,2025-10-10 15:39:08
146,0.845818,2025-10-10 15:39:08
148,0.856237,2025-10-10 15:39:08
147,0.850430,2025-10-10 15:39:08
148,0.855626,2025-10-10 15:39:08
146,0.845434,2025-10-10 15:39:08
148,0.855830,2025-10-10 15:39:08
140,0.813126,2025-10-10 15:39:09
148,0.856070,2025-10-10 15:39:10
148,0.856108,2025-10-10 15:39:10
148,0.855870,2025-10-10 15:39:10
142,0.824305,2025-10-10 15:39:10
145,0.839992,2025-10-10 15:39:10
147,0.850373,2025-10-10 15:39:10
148,0.855912,2025-10-10 15:39:10
148,0.855754,2025-10-10 15:39:10
148,0.856070,2025-10-10 15:39:10
148,0.856708,2025-10-10 15:39:10
148,0.856513,2025-10-10 15:39:10
148,0.855651,2025-10-10 15:39:11
148,0.855746,2025-10-10 15:39:11
147,0.851235,2025-10-10 15:39:11
148,0.856449,2025-10-10 15:39:11
148,0.855505,2025-10-10 15:39:11
148,0.856280,2025-10-10 15:39:12
146,0.845779,2025-10-10 15:39:12
148,0.856193,2025-10-10 15:39:12
148,0.856777,2025-10-10 15:39:12
144,0.835452,2025-10-10 15:39:12
148,0.856304,2025-10-10 15:39:12
148,0.856407,2025-10-10 15:39:12
148,0.855998,2025-10-10 15:39:12
140,0.813537,2025-10-10 15:39:12
146,0.845568,2025-10-10 15:39:12
148,0.855981,2025-10-10 15:39:12
148,0.855710,2025-10-10 15:39:12
148,0.856065,2025-10-10 15:39:12
148,0.855892,2025-10-10 15:39:12
140,0.813442,2025-10-10 15:39:14
140,0.813442,2025-10-10 15:39:14
145,0.840458,2025-10-10 15:39:14
148,0.856069,2025-10-10 15:39:14
148,0.855941,2025-10-10 15:39:14
148,0.855727,2025-10-10 15:39:14
148,0.855884,2025-10-10 15:39:14
148,0.855991,2025-10-10 15:39:14
140,0.813679,2025-10-10 15:39:14
142,0.824284,2025-10-10 15:39:14
144,0.834775,2025-10-10 15:39:15
148,0.855883,2025-10-10 15:39:15
148,0.856168,2025-10-10 15:39:15
148,0.856163,2025-10-10 15:39:15
148,0.855888,2025-10-10 15:39:16
140,0.813380,2025-10-10 15:39:16
146,0.846440,2025-10-10 15:39:16
148,0.856908,2025-10-10 15:39:16
148,0.856791,2025-10-10 15:39:16
140,0.813140,2025-10-10 15:39:16
140,0.813827,2025-10-10 15:39:16
148,0.855761,2025-10-10 15:39:16
148,0.857323,2025-10-10 15:39:16
147,0.850999,2025-10-10 15:39:16
148,0.856209,2025-10-10 15:39:16
148,0.855693,2025-10-10 15:39:16
148,0.856227,2025-10-10 15:39:17
148,0.855975,2025-10-10 15:39:17
148,0.856696,2025-10-10 15:39:17
148,0.855648,2025-10-10 15:39:18
148,0.855962,2025-10-10 15:39:18
148,0.857008,2025-10-10 15:39:18
148,0.856276,2025-10-10 15:39:18
148,0.856090,2025-10-10 15:39:18
148,0.855784,2025-10-10 15:39:18
148,0.855841,2025-10-10 15:39:18
148,0.855550,2025-10-10 15:39:18
145,0.840397,2025-10-10 15:39:18
148,0.856008,2025-10-10 15:39:18
148,0.855655,2025-10-10 15:39:18
148,0.855847,2025-10-10 15:39:19
144,0.835637,2025-10-10 15:39:19
148,0.856527,2025-10-10 15:39:19
148,0.856612,2025-10-10 15:39:19
148,0.855571,2025-10-10 15:39:19
141,0.819614,2025-10-10 15:39:20
148,0.856312,2025-10-10 15:39:20
140,0.813036,2025-10-10 15:39:20
143,0.830400,2025-10-10 15:39:20
146,0.846055,2025-10-10 15:39:20
148,0.856493,2025-10-10 15:39:20
148,0.855795,2025-10-10 15:39:20
140,0.813340,2025-10-10 15:39:20
148,0.856879,2025-10-10 15:39:20
146,0.845114,2025-10-10 15:39:20
147,0.850306,2025-10-10 15:39:20
147,0.851649,2025-10-10 15:39:20
148,0.856874,2025-10-10 15:39:20
148,0.856257,2025-10-10 15:39:21
148,0.855680,2025-10-10 15:39:21
148,0.855839,2025-10-10 15:39:21
148,0.856141,2025-10-10 15:39:22
148,0.855932,2025-10-10 15:39:22
148,0.855894,2025-10-10 15:39:22
148,0.855589,2025-10-10 15:39:22
148,0.855923,2025-10-10 15:39:22
148,0.856176,2025-10-10 15:39:22
148,0.856703,2025-10-10 15:39:22
140,0.813336,2025-10-10 15:39:22
144,0.835123,2025-10-10 15:39:22
148,0.855941,2025-10-10 15:39:22
148,0.855719,2025-10-10 15:39:23
148,0.855982,2025-10-10 15:39:23
144,0.834835,2025-10-10 15:39:23
148,0.855618,2025-10-10 15:39:23
148,0.855681,2025-10-10 15:39:23
148,0.855630,2025-10-10 15:39:24
142,0.824168,2025-10-10 15:39:24
148,0.855671,2025-10-10 15:39:24
145,0.840091,2025-10-10 15:39:24
148,0.855680,2025-10-10 15:39:24
148,0.856368,2025-10-10 15:39:24
145,0.840065,2025-10-10 15:39:25
148,0.855647,2025-10-10 15:39:25
148,0.856135,2025-10-10 15:39:25
147,0.850584,2025-10-10 15:39:25
148,0.855783,2025-10-10 15:39:25
148,0.855882,2025-10-10 15:39:25
148,0.855705,2025-10-10 15:39:25
143,0.830371,2025-10-10 15:39:26
148,0.856451,2025-10-10 15:39:26
148,0.856987,2025-10-10 15:39:26
148,0.855867,2025-10-10 15:39:26
148,0.855701,2025-10-10 15:39:26
147,0.851697,2025-10-10 15:39:26
148,0.856926,2025-10-10 15:39:26
148,0.855574,2025-10-10 15:39:27
148,0.855864,2025-10-10 15:39:27
143,0.831295,2025-10-10 15:39:27
148,0.857549,2025-10-10 15:39:27
142,0.824210,2025-10-10 15:39:27
148,0.856471,2025-10-10 15:39:28
148,0.856263,2025-10-10 15:39:28
145,0.840098,2025-10-10 15:39:28
148,0.855686,2025-10-10 15:39:28
148,0.855832,2025-10-10 15:39:28
148,0.856021,2025-10-10 15:39:28
148,0.856793,2025-10-10 15:39:28
148,0.856798,2025-10-10 15:39:28
148,0.856033,2025-10-10 15:39:29
